Budget FY,Fiscal Period,Fiscal Period Name,Function,Spec Dept,Dept #,Dept,Amount
2012,6,December,Administration and Regulation,Commerce,,,
2012,6,December,Administration and Regulation,Commerce,,,
2012,6,December,Administration and Regulation,Commerce,,,
2012,6,December,Administration and Regulation,Commerce,,,
2012,6,December,Administration and Regulation,Commerce,,,
2012,6,December,Administration and Regulation,Commerce,,,
2012,6,December,Administration and Regulation,Commerce,,,
2012,6,December,Administration and Regulation,Commerce,,,
2012,6,December,Administration and Regulation,Commerce,,,
2012,6,December,Administration and Regulation,Commerce,,,
2012,6,December,Administration and Regulation,Commerce,,,
2012,6,December,Administration and Regulation,Commerce,,,
2012,6,December,Administration and Regulation,Commerce,,,
2012,6,December,Administration and Regulation,Commerce,,,
2012,6,December,Economic Development,Economic Development Authority,269,Economic Development Authority,5
2012,6,December,Economic Development,Economic Development Authority,269,Economic Development Authority,860.31
2012,6,December,Economic Development,Economic Development Authority,269,Economic Development Authority,2
2012,6,December,Economic Development,Economic Development Authority,269,Economic Development Authority,4
2012,6,December,Economic Development,Economic Development Authority,269,Economic Development Authority,73.15
2012,6,December,Economic Development,Economic Development Authority,269,Economic Development Authority,635.31
2012,6,December,Economic Development,Economic Development Authority,269,Economic Development Authority,1
2012,6,December,Economic Development,Economic Development Authority,269,Economic Development Authority,4
2012,6,December,Economic Development,Economic Development Authority,269,Economic Development Authority,8.51
2012,6,December,Economic Development,Economic Development Authority,269,Economic Development Authority,50
2012,6,December,Administration and Regulation,Management,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Public Health,,,
2012,6,December,Human Services,Public Health,,,
2012,6,December,Human Services,Public Health,,,
2012,6,December,Human Services,Public Health,,,
2012,6,December,Human Services,Public Health,,,
2012,6,December,Human Services,Public Health,,,
2012,6,December,Human Services,Public Health,,,
2012,6,December,Human Services,Public Health,,,
2012,6,December,Human Services,Public Health,,,
2012,6,December,Human Services,Public Health,,,
2012,6,December,Human Services,Public Health,,,
2012,6,December,Human Services,Public Health,,,
2012,6,December,Human Services,Public Health,,,
2012,6,December,Human Services,Public Health,,,
2012,6,December,Human Services,Public Health,,,
2012,6,December,Education,Education,,,
2012,6,December,Agriculture and Natural Resources,blind,9,Agriculture and Land Stewardship,20
2012,6,December,Agriculture and Natural Resources,blind,9,Agriculture and Land Stewardship,40 6.66
2012,6,December,Agriculture and Natural Resources,blind,9,Agriculture and Land Stewardship,602 .41
2012,6,December,Agriculture and Natural Resources,blind,9,Agriculture and Land Stewardship,41.8
2012,6,December,Agriculture and Natural Resources,blind,9,Agriculture and Land Stewardship,267.58
2012,6,December,Agriculture and Natural Resources,blind,9,Agriculture and Land Stewardship,13
2012,6,December,Agriculture and Natural Resources,blind,9,Agriculture and Land Stewardship,8.26
2012,6,December,Justice System,Public Safety,,,
2012,6,December,Justice System,Public Safety,,,
2012,6,December,Justice System,Public Safety,,,
2012,6,December,Justice System,Public Safety,,,
2012,6,December,Justice System,Public Safety,,,
2012,6,December,Justice System,Public Safety,,,
2012,6,December,Justice System,Public Safety,,,
2012,6,December,Justice System,Public Safety,,,
2012,6,December,Justice System,Public Safety,,,
2012,6,December,Justice System,Public Safety,,,
2012,6,December,Justice System,Public Safety,,,
2012,6,December,Justice System,Public Safety,,,
2012,6,December,Justice System,Public Safety,,,
2012,6,December,Justice System,Public Safety,,,
2012,6,December,Justice System,Public Safety,,,
2012,6,December,Justice System,Public Safety,,,
2012,6,December,Justice System,Public Safety,,,
2012,6,December,Justice System,Public Safety,,,
2012,6,December,Justice System,Public Safety,,,
2012,6,December,Justice System,Public Safety,,,
2012,6,December,Justice System,Public Safety,,,
2012,6,December,Justice System,Public Safety,,,
2012,6,December,Justice System,Public Safety,,,
2012,6,December,Justice System,Public Safety,,,
2012,6,December,Justice System,Public Safety,,,
2012,6,December,Justice System,Public Safety,,,
2012,6,December,Justice System,Public Safety,,,
2012,6,December,Justice System,Public Safety,,,
2012,6,December,Education,Education,,,
2012,6,December,Education,Education,,,
2012,6,December,Education,Education,,,
2012,6,December,Education,Education,,,
2012,6,December,Education,Education,,,
2012,6,December,Education,Education,,,
2012,6,December,Education,Education,,,
2012,6,December,Education,Education,,,
2012,6,December,Education,Education,,,
2012,6,December,Education,Education,,,
2012,6,December,Education,Education,,,
2012,6,December,Education,Education,,,
2012,6,December,Education,Education,,,
2012,6,December,Education,Education,,,
2012,6,December,Education,Education,,,
2012,6,December,Education,Education,,,
2012,6,December,Education,Education,,,
2012,6,December,Education,Education,,,
2012,6,December,Education,Education,,,
2012,6,December,Education,Education,,,
2012,6,December,Education,Education,,,
2012,6,December,Education,Education,,,
2012,6,December,Education,Education,,,
2012,6,December,Education,Education,,,
2012,6,December,Education,Education,,,
2012,6,December,Education,Education,,,
2012,6,December,Education,Education,,,
2012,6,December,Education,Education,,,
2012,6,December,Education,Education,,,
2012,6,December,Education,Education,,,
2012,6,December,Education,Education,,,
2012,6,December,Education,Education,,,
2012,6,December,Education,Education,,,
2012,6,December,Education,Education,,,
2012,6,December,Education,Education,,,
2012,6,December,Education,Education,,,
2012,6,December,Education,Education,,,
2012,6,December,Education,Education,,,
2012,6,December,Education,Education,,,
2012,6,December,Education,Education,,,
2012,6,December,Education,Education,,,
2012,6,December,Education,Education,,,
2012,6,December,Education,Education,,,
2012,6,December,Education,Education,,,
2012,6,December,Education,Education,,,
2012,6,December,Education,Education,,,
2012,6,December,Education,Education,,,
2012,6,December,Education,Education,,,
2012,6,December,Education,Education,,,
2012,6,December,Education,Education,,,
2012,6,December,Education,Education,,,
2012,6,December,Education,Education,,,
2012,6,December,Education,Education,,,
2012,6,December,Education,Education,,,
2012,6,December,Education,Education,,,
2012,6,December,Education,Education,,,
2012,6,December,Education,Education,,,
2012,6,December,Education,Education,,,
2012,6,December,Education,Education,,,
2012,6,December,Education,Education,,,
2012,6,December,Education,Education,,,
2012,6,December,Education,Education,,,
2012,6,December,Education,Education,,,
2012,6,December,Education,Education,,,
2012,6,December,Education,Education,,,
2012,6,December,Education,Education,,,
2012,6,December,Education,Education,,,
2012,6,December,Education,Education,,,
2012,6,December,Education,Education,,,
2012,6,December,Education,Education,,,
2012,6,December,Education,Education,,,
2012,6,December,Education,Education,,,
2012,6,December,Education,Education,,,
2012,6,December,Education,Education,,,
2012,6,December,Administration and Regulation,Inspections & Appeals,,,
2012,6,December,Administration and Regulation,Inspections & Appeals,,,
2012,6,December,Administration and Regulation,Inspections & Appeals,,,
2012,6,December,Administration and Regulation,Inspections & Appeals,,,
2012,6,December,Administration and Regulation,Inspections & Appeals,,,
2012,6,December,Administration and Regulation,Inspections & Appeals,,,
2012,6,December,Administration and Regulation,Inspections & Appeals,,,
2012,6,December,Administration and Regulation,Inspections & Appeals,,,
2012,6,December,Administration and Regulation,Inspections & Appeals,,,
2012,6,December,Administration and Regulation,Inspections & Appeals,,,
2012,6,December,Administration and Regulation,Inspections & Appeals,,,
2012,6,December,Administration and Regulation,Inspections & Appeals,,,
2012,6,December,Administration and Regulation,Inspections & Appeals,,,
2012,6,December,Administration and Regulation,Inspections & Appeals,,,
2012,6,December,Administration and Regulation,Inspections & Appeals,,,
2012,6,December,Administration and Regulation,Inspections & Appeals,,,
2012,6,December,Administration and Regulation,Inspections & Appeals,,,
2012,6,December,Administration and Regulation,Inspections & Appeals,,,
2012,6,December,Administration and Regulation,Inspections & Appeals,,,
2012,6,December,Administration and Regulation,Inspections & Appeals,,,
2012,6,December,Administration and Regulation,Inspections & Appeals,,,
2012,6,December,Administration and Regulation,Inspections & Appeals,,,
2012,6,December,Administration and Regulation,Inspections & Appeals,,,
2012,6,December,Administration and Regulation,Inspections & Appeals,,,
2012,6,December,Administration and Regulation,Inspections & Appeals,,,
2012,6,December,Administration and Regulation,Inspections & Appeals,,,
2012,6,December,Administration and Regulation,Inspections & Appeals,,,
2012,6,December,Administration and Regulation,Inspections & Appeals,,,
2012,6,December,Administration and Regulation,Inspections & Appeals,,,
2012,6,December,Administration and Regulation,Inspections & Appeals,,,
2012,6,December,Administration and Regulation,Inspections & Appeals,,,
2012,6,December,Administration and Regulation,Inspections & Appeals,,,
2012,6,December,Administration and Regulation,Inspections & Appeals,,,
2012,6,December,Administration and Regulation,Inspections & Appeals,,,
2012,6,December,Administration and Regulation,Inspections & Appeals,,,
2012,6,December,Administration and Regulation,Inspections & Appeals,,,
2012,6,December,Agriculture and Natural Resources,Agriculture and Land Stewardship,9,Agriculture and Land Stewardship,65
2012,6,December,Administration and Regulation,Executive Council,654,Executive Council,37
2012,6,December,Justice System,Public Safety,,,
2012,6,December,Administration and Regulation,Human Rights,,,
2012,6,December,Administration and Regulation,Human Rights,,,
2012,6,December,Administration and Regulation,Human Rights,,,
2012,6,December,Administration and Regulation,Human Rights,,,
2012,6,December,Administration and Regulation,Human Rights,,,
2012,6,December,Administration and Regulation,Human Rights,,,
2012,6,December,Administration and Regulation,Human Rights,,,
2012,6,December,Administration and Regulation,Human Rights,,,
2012,6,December,Administration and Regulation,Human Rights,,,
2012,6,December,Administration and Regulation,Human Rights,,,
2012,6,December,Administration and Regulation,Human Rights,,,
2012,6,December,Administration and Regulation,Human Rights,,,
2012,6,December,Administration and Regulation,Human Rights,,,
2012,6,December,Administration and Regulation,Human Rights,,,
2012,6,December,Administration and Regulation,Human Rights,,,
2012,6,December,Administration and Regulation,Human Rights,,,
2012,6,December,Administration and Regulation,Human Rights,,,
2012,6,December,Administration and Regulation,Human Rights,,,
2012,6,December,Administration and Regulation,Human Rights,,,
2012,6,December,Administration and Regulation,Human Rights,,,
2012,6,December,Administration and Regulation,Human Rights,,,
2012,6,December,Administration and Regulation,Human Rights,,,
2012,6,December,Judicial Branch,Judicial Branch,444,Judicial Branch,3
2012,6,December,Judicial Branch,Judicial Branch,444,Judicial Branch,3
2012,6,December,Judicial Branch,Judicial Branch,444,Judicial Branch,20
2012,6,December,Judicial Branch,Judicial Branch,444,Judicial Branch,243
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Education,Education,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Justice System,Public Defense,,,
2012,6,December,Justice System,Public Defense,,,
2012,6,December,Justice System,Public Defense,,,
2012,6,December,Justice System,Public Defense,,,
2012,6,December,Justice System,Public Defense,,,
2012,6,December,Justice System,Public Defense,,,
2012,6,December,Justice System,Public Defense,,,
2012,6,December,Justice System,Public Defense,,,
2012,6,December,Justice System,Public Defense,,,
2012,6,December,Justice System,Public Defense,,,
2012,6,December,Justice System,Public Defense,,,
2012,6,December,Justice System,Public Defense,,,
2012,6,December,Justice System,Public Defense,,,
2012,6,December,Justice System,Public Defense,,,
2012,6,December,Justice System,Public Defense,,,
2012,6,December,Justice System,Public Defense,,,
2012,6,December,Agriculture and Natural Resources,Natural Resources,,,
2012,6,December,Agriculture and Natural Resources,Natural Resources,,,
2012,6,December,Agriculture and Natural Resources,Natural Resources,,,
2012,6,December,Agriculture and Natural Resources,Natural Resources,,,
2012,6,December,Agriculture and Natural Resources,Natural Resources,,,
2012,6,December,Agriculture and Natural Resources,Natural Resources,,,
2012,6,December,Agriculture and Natural Resources,Natural Resources,,,
2012,6,December,Agriculture and Natural Resources,Natural Resources,,,
2012,6,December,Agriculture and Natural Resources,Natural Resources,,,
2012,6,December,Agriculture and Natural Resources,Natural Resources,,,
2012,6,December,Agriculture and Natural Resources,Natural Resources,,,
2012,6,December,Agriculture and Natural Resources,Natural Resources,,,
2012,6,December,Agriculture and Natural Resources,Natural Resources,,,
2012,6,December,Agriculture and Natural Resources,Natural Resources,,,
2012,6,December,Agriculture and Natural Resources,Natural Resources,,,
2012,6,December,Agriculture and Natural Resources,Natural Resources,,,
2012,6,December,Agriculture and Natural Resources,Natural Resources,,,
2012,6,December,Agriculture and Natural Resources,Natural Resources,,,
2012,6,December,Agriculture and Natural Resources,Natural Resources,,,
2012,6,December,Agriculture and Natural Resources,Natural Resources,,,
2012,6,December,Agriculture and Natural Resources,Natural Resources,,,
2012,6,December,Agriculture and Natural Resources,Natural Resources,,,
2012,6,December,Human Services,Iowa Veterans Home,671,Iowa Veterans Home,9
2012,6,December,Agriculture and Natural Resources,Natural Resources,,,
2012,6,December,Agriculture and Natural Resources,Natural Resources,,,
2012,6,December,Agriculture and Natural Resources,Natural Resources,,,
2012,6,December,Agriculture and Natural Resources,Natural Resources,,,
2012,6,December,Agriculture and Natural Resources,Natural Resources,,,
2012,6,December,Agriculture and Natural Resources,Natural Resources,,,
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,-295
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,-47.98
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,3
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,454.98
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,169.42
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,179
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,354.83
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,-881.19
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,-24.19
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,-361.79
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,-86.04
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,-726.5
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,-757.6
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,-1
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,-2
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,-29.89
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,-10.52
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,-11.88
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,-2
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,-2
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,-10.14
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,316.32
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,-299.4
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,0.32
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,-188.07
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,-52
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,-12.46
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,-148
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,-4
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,-1
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,-203.52
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,43.86
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,-129.03
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,-1
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,-20.15
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,-728.75
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,4.41
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,-425
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,-400
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,-900
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,-3.65
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,-1
2012,6,December,Human Services,Iowa Veterans Home,671,Iowa Veterans Home,615
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,-958.93
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,-20.7
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,0.29
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,966.6
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,-11.29
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,-10
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,6.59
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,-11.48
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,-1
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,-55.46
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,2
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,-110
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,-3
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,-565.65
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,-471.14
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,-911.71
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,52.74
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,-72.2
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,944.64
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,-22.75
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,-21.9
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,-61.67
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,150
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,4.93
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,-595.75
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,68
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,-0.02
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,-129.07
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,646.7
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,-31.31
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,-728.75
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,-1
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,-54.62
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,966.7
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,-509.7
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,-7.42
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,-9.87
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,267.08
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,0
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,155
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,1
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,-3.69
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,3
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,-410
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,2
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,3
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,-410
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,245.04
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,202.02
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,114.26
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,236.68
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,900
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,55.44
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,1
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,-187.8
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,-75.03
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,-436.92
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,-1
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,-275
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,-1
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,-153.35
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,-146.93
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,-304.09
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,120
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,-137.5
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,-8.51
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,-20.88
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,-599.97
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,-892.73
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,-12.07
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,2
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,-120.82
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,-23.09
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,2
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,562
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,-35.99
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,-8.19
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,-211.91
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,-2
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,-10.57
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,-509.37
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,-1
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,-1
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,79.2
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,19.81
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,0
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,439.33
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,-5.93
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,8.03
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,233.09
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,0.04
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,144
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,6.59
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,44.15
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,129.03
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,20.54
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,0
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,2
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,235.92
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,0
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,-688.4
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,-24.82
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,-398.71
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,-13.47
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,-153.89
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,11.2
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,-1
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,-1
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,-2
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,59.63
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,129.03
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,61.85
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,3
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,-2
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,-420
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,-398
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,73
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,147.23
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,317.01
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,1.56
2012,6,December,Economic Development,Iowa Workforce Development,309,Iowa Workforce Development,17
