Employee Identifier,Year End Date,Organization Group Code,Organization Group,Department Code,Department,Union Code,Union,Job Code,Job,Salaries,Overtime,Other Salaries,Total Salary
37129,31-03-2016,2,"Public Works, Transportation & Commerce",MTA,MTA Municipal Transprtn Agncy,39,"Stationary Engineers, Local 39",7334,Stationary Engineer,22814,1084.1,1786.54,25684.64
49610,31-03-2017,1,Public Protection,FIR,FIR Fire Department,798,"Firefighters - Miscellaneous, Local 798",H002,Firefighter,116099.52,1741.5,18263.79,136104.81
20850,31-03-2016,1,Public Protection,FIR,FIR Fire Department,798,"Firefighters - Miscellaneous, Local 798",H002,Firefighter,113827.04,9143.1,20670.31,143640.45
34891,31-03-2016,4,Community Health,DPH,DPH Public Health,791,"SEIU - Staff and Per Diem Nurses, Local 1021",2328,Nurse Practitioner,22715.35,0,520.66,23236.01
40670,31-03-2013,1,Public Protection,POL,POL Police,911,Police Officers' Association,Q004,Police Officer 3,114919.25,1706.23,8958.89,125584.37
6536,31-03-2017,2,"Public Works, Transportation & Commerce",MTA,MTA Municipal Transprtn Agncy,253,"Transport Workers - Transit Operators, Local 250-A",9163,Transit Operator,63290.9,38127.89,4732.25,106151.04
37960,31-03-2014,6,General Administration & Finance,CAT,CAT City Attorney,311,Municipal Attorneys' Association,8181,Assistant Chief Attorney 1,142325.81,0,937.5,143263.31
6471,31-03-2015,4,Community Health,DPH,DPH Public Health,250,"SEIU - Health Workers, Local 1021",2424,X-Ray Laboratory Aide,66558.17,13987.41,1068.8,81614.38
49785,31-03-2017,1,Public Protection,FIR,FIR Fire Department,798,"Firefighters - Miscellaneous, Local 798",H020,"Lieutenant, Fire Suppression",140134.61,27248.33,18738.61,186121.55
23898,31-03-2014,4,Community Health,DPH,DPH Public Health,791,"SEIU - Staff and Per Diem Nurses, Local 1021",2320,Registered Nurse,74534.49,0,8097.9,82632.39
31130,31-03-2015,1,Public Protection,POL,POL Police,790,"SEIU - Miscellaneous, Local 1021",9209,Community Police Services Aide,64438.56,405.4,5730.81,70574.77
29480,31-03-2015,1,Public Protection,POL,POL Police,911,Police Officers' Association,Q002,Police Officer,17664.3,0,0,17664.3
37281,31-03-2017,2,"Public Works, Transportation & Commerce",MTA,MTA Municipal Transprtn Agncy,130,"Automotive Machinists, Local 1414",7306,Automotive Body & Fender Wrk,72872.87,18179.29,17398.73,108450.89
11039,31-03-2017,4,Community Health,DPH,DPH Public Health,790,"SEIU - Miscellaneous, Local 1021",2587,Health Worker 3,71162,0,7703.05,78865.05
48269,31-03-2013,3,Human Welfare & Neighborhood Development,DSS,HSA Human Services Agency,535,"SEIU - Human Services, Local 1021",2907,Eligibility Worker Supervisor,75537,0,1420,76957
16872,31-03-2017,4,Community Health,DPH,DPH Public Health,858,"Teamsters - Supervising Nurses, Local 856",2324,Nursing Supervisor,86526,0,16227.57,102753.57
33314,31-03-2017,1,Public Protection,JUV,JUV Juvenile Probation,39,"Stationary Engineers, Local 39",7205,Chief Stationary Engineer,120208.41,11794.9,3654,135657.31
39112,31-03-2016,6,General Administration & Finance,TTX,TTX Treasurer/Tax Collector,790,"SEIU - Miscellaneous, Local 1021",1632,Senior Account Clerk,57973.51,2335.42,0,60308.93
41870,31-03-2017,5,Culture & Recreation,REC,REC Recreation & Park Commsn,216,"Teamsters, Local 853",7355,Truck Driver,87147.95,1414.85,4185.11,92747.91
40162,31-03-2014,4,Community Health,DPH,DPH Public Health,351,Municipal Executive Association - Miscellaneous,1071,IS Manager,162808.25,0,0,162808.25
9073,31-03-2017,2,"Public Works, Transportation & Commerce",AIR,AIR Airport Commission,790,"SEIU - Miscellaneous, Local 1021",1842,Management Assistant,52512.02,0,1400,53912.02
6879,31-03-2017,3,Human Welfare & Neighborhood Development,DSS,HSA Human Services Agency,535,"SEIU - Human Services, Local 1021",2905,Senior Eligibility Worker,82372.5,2247.23,2616.4,87236.13
7642,31-03-2013,2,"Public Works, Transportation & Commerce",AIR,AIR Airport Commission,236,"Carpenters, Local 22",7342,Locksmith,81276.06,16606.88,1337.4,99220.34
24300,31-03-2015,2,"Public Works, Transportation & Commerce",AIR,AIR Airport Commission,21,"Prof & Tech Engineers - Miscellaneous, Local 21",1044,IS Engineer-Principal,141668.73,0,328.38,141997.11
15245,31-03-2016,4,Community Health,DPH,DPH Public Health,250,"SEIU - Health Workers, Local 1021",2430,Medical Evaluations Assistant,64361.58,4295.59,1922.22,70579.39
56802,31-03-2014,2,"Public Works, Transportation & Commerce",WTR,WTR Water Enterprise,21,"Prof & Tech Engineers - Miscellaneous, Local 21",2481,Water Qualitytech I/II,61863.4,0,0,61863.4
5206,31-03-2014,4,Community Health,DPH,DPH Public Health,250,"SEIU - Health Workers, Local 1021",2302,Nursing Assistant,66624.57,8416.58,10865.96,85907.11
1017,31-03-2013,2,"Public Works, Transportation & Commerce",MTA,MTA Municipal Transprtn Agncy,22,"Prof & Tech Engineers - Personnel, Local 21",1241,Personnel Analyst,62205.63,0,0,62205.63
38223,31-03-2015,2,"Public Works, Transportation & Commerce",AIR,AIR Airport Commission,790,"SEIU - Miscellaneous, Local 1021",7392,Window Cleaner,67161.83,0,1120.48,68282.31
26291,31-03-2014,2,"Public Works, Transportation & Commerce",MTA,MTA Municipal Transprtn Agncy,351,Municipal Executive Association - Miscellaneous,9182,"Manager VIII, MTA",174503.4,0,0,174503.4
40140,31-03-2017,4,Community Health,DPH,DPH Public Health,22,"Prof & Tech Engineers - Personnel, Local 21",1241,Personnel Analyst,97118.1,0,0,97118.1
46087,31-03-2013,2,"Public Works, Transportation & Commerce",MTA,MTA Municipal Transprtn Agncy,261,"Laborers, Local 261",7540,Track Maintenance Worker,60813.23,24902.64,2108.83,87824.7
1941,31-03-2013,2,"Public Works, Transportation & Commerce",PRT,PRT Port,21,"Prof & Tech Engineers - Miscellaneous, Local 21",1824,Pr Administrative Analyst,110708.07,0,0,110708.07
48618,31-03-2016,5,Culture & Recreation,REC,REC Recreation & Park Commsn,790,"SEIU - Miscellaneous, Local 1021",3279,Recreation Leader,6928,0,54.68,6982.68
37592,31-03-2016,1,Public Protection,ECD,DEM Emergency Management,790,"SEIU - Miscellaneous, Local 1021",8238,Public Safetycomm Disp,95637.6,86787.77,15752.44,198177.81
27363,31-03-2017,3,Human Welfare & Neighborhood Development,DSS,HSA Human Services Agency,790,"SEIU - Miscellaneous, Local 1021",1408,Principal Clerk,70473.73,0,0,70473.73
19639,31-03-2016,5,Culture & Recreation,LIB,LIB Public Library,790,"SEIU - Miscellaneous, Local 1021",3602,Library Page,32701.54,0,525.98,33227.52
3586,31-03-2017,5,Culture & Recreation,REC,REC Recreation & Park Commsn,790,"SEIU - Miscellaneous, Local 1021",3208,Pool Lifeguard,780.38,0,16.85,797.23
19036,31-03-2014,4,Community Health,DPH,DPH Public Health,250,"SEIU - Health Workers, Local 1021",2312,Licensed Vocational Nurse,64578.34,8061.02,9296.62,81935.98
16084,31-03-2016,4,Community Health,DPH,DPH Public Health,790,"SEIU - Miscellaneous, Local 1021",2920,Medical Social Worker,95564.9,0,2620,98184.9
28238,31-03-2016,2,"Public Works, Transportation & Commerce",PRT,PRT Port,377,"Iron Workers, Local 377",7395,Ornamental Iron Worker,85798.31,1660.83,1830,89289.14
14395,31-03-2014,4,Community Health,DPH,DPH Public Health,250,"SEIU - Health Workers, Local 1021",2424,X-Ray Laboratory Aide,64676.1,0,8698.13,73374.23
51188,31-03-2016,6,General Administration & Finance,ADM,ADM Gen Svcs Agency-City Admin,790,"SEIU - Miscellaneous, Local 1021",2708,Custodian,57922.3,0,2909.89,60832.19
44470,31-03-2014,4,Community Health,DPH,DPH Public Health,250,"SEIU - Health Workers, Local 1021",2303,Patient Care Assistant,27933.75,0,2502.52,30436.27
32102,31-03-2016,2,"Public Works, Transportation & Commerce",WTR,WTR Water Enterprise,21,"Prof & Tech Engineers - Miscellaneous, Local 21",5212,Engineer/Architect Principal,177555.6,0,0,177555.6
55608,31-03-2017,2,"Public Works, Transportation & Commerce",HHP,HHP Hetch Hetchy Water & Power,261,"Laborers, Local 261",3417,Gardener,56166.02,1098.91,109.9,57374.83
52006,31-03-2016,5,Culture & Recreation,LIB,LIB Public Library,790,"SEIU - Miscellaneous, Local 1021",3602,Library Page,33736.64,0,269.57,34006.21
10450,31-03-2017,2,"Public Works, Transportation & Commerce",MTA,MTA Municipal Transprtn Agncy,790,"SEIU - Miscellaneous, Local 1021",8214,Parking Control Officer,14863.19,1897.53,352.88,17113.6
14967,31-03-2015,2,"Public Works, Transportation & Commerce",MTA,MTA Municipal Transprtn Agncy,200,"Transportation Workers, Local 200",9139,Transit Supervisor,92727.6,58761.4,14896.49,166385.49
30108,31-03-2017,4,Community Health,DPH,DPH Public Health,790,"SEIU - Miscellaneous, Local 1021",1404,Clerk,28872.48,0,0,28872.48
33617,31-03-2014,4,Community Health,DPH,DPH Public Health,790,"SEIU - Miscellaneous, Local 1021",2450,Pharmacist,13598.14,0,0,13598.14
31369,31-03-2013,2,"Public Works, Transportation & Commerce",WTR,WTR Water Enterprise,6,"Electrical Workers, Local 6",7345,Electrician,91338,98.8,0,91436.8
23391,31-03-2016,2,"Public Works, Transportation & Commerce",AIR,AIR Airport Commission,21,"Prof & Tech Engineers - Miscellaneous, Local 21",1043,IS Engineer-Senior,136397.92,0,2081,138478.92
48167,31-03-2014,2,"Public Works, Transportation & Commerce",MTA,MTA Municipal Transprtn Agncy,200,"Transportation Workers, Local 200",9139,Transit Supervisor,95280.5,9505.23,6388.17,111173.9
40754,31-03-2016,2,"Public Works, Transportation & Commerce",MTA,MTA Municipal Transprtn Agncy,253,"Transport Workers - Transit Operators, Local 250-A",9163,Transit Operator,64516.34,2117.9,2081.8,68716.04
38615,31-03-2013,6,General Administration & Finance,CON,CON Controller,21,"Prof & Tech Engineers - Miscellaneous, Local 21",1657,Accountant IV,60434.51,0,0,60434.51
35529,31-03-2013,1,Public Protection,SHF,SHF Sheriff,498,Deputy Sheriffs' Association,8306,Senior Deputy Sheriff,53251.9,22307.03,4635.29,80194.22
30132,31-03-2016,2,"Public Works, Transportation & Commerce",MTA,MTA Municipal Transprtn Agncy,253,"Transport Workers - Transit Operators, Local 250-A",9163,Transit Operator,17643.55,2323.57,430.91,20398.03
29458,31-03-2015,2,"Public Works, Transportation & Commerce",AIR,AIR Airport Commission,790,"SEIU - Miscellaneous, Local 1021",2708,Custodian,55239.5,0,7336.29,62575.79
52244,31-03-2017,5,Culture & Recreation,REC,REC Recreation & Park Commsn,790,"SEIU - Miscellaneous, Local 1021",2708,Custodian,6194.3,0,19.9,6214.2
56944,31-03-2015,2,"Public Works, Transportation & Commerce",MTA,MTA Municipal Transprtn Agncy,6,"Electrical Workers, Local 6",7371,Electrical Transit System Mech,37514.4,11401.4,2391.54,51307.34
50861,31-03-2013,6,General Administration & Finance,CPC,CPC City Planning,21,"Prof & Tech Engineers - Miscellaneous, Local 21",5278,Planner 2,2645.71,0,0,2645.71
1339,31-03-2015,1,Public Protection,SHF,SHF Sheriff,498,Deputy Sheriffs' Association,8304,Deputy Sheriff,95968.42,37800.29,15593.25,149361.96
36380,31-03-2013,1,Public Protection,SHF,SHF Sheriff,499,Sheriff's Managers and Supervisors Association,8308,Sheriff's Sergeant,109898.33,9377.64,12218.19,131494.16
34241,31-03-2015,3,Human Welfare & Neighborhood Development,DSS,HSA Human Services Agency,790,"SEIU - Miscellaneous, Local 1021",1822,Administrative Analyst,71594,0,0,71594
928,31-03-2014,5,Culture & Recreation,REC,REC Recreation & Park Commsn,261,"Laborers, Local 261",3417,Gardener,63270.9,0,0,63270.9
42940,31-03-2014,3,Human Welfare & Neighborhood Development,DSS,HSA Human Services Agency,790,"SEIU - Miscellaneous, Local 1021",2935,"Sr Marriage, Fam & Cld Cnslr",92493.94,0,105,92598.94
54428,31-03-2015,2,"Public Works, Transportation & Commerce",MTA,MTA Municipal Transprtn Agncy,253,"Transport Workers - Transit Operators, Local 250-A",9163,Transit Operator,1059.69,283.85,0,1343.54
51724,31-03-2014,2,"Public Works, Transportation & Commerce",MTA,MTA Municipal Transprtn Agncy,253,"Transport Workers - Transit Operators, Local 250-A",9163,Transit Operator,59666.7,20130.05,4495.07,84291.82
41754,31-03-2014,2,"Public Works, Transportation & Commerce",MTA,MTA Municipal Transprtn Agncy,130,"Automotive Machinists, Local 1414",7340,Maintenance Controller,80601.87,0,13974.7,94576.57
25229,31-03-2014,3,Human Welfare & Neighborhood Development,DSS,HSA Human Services Agency,1,Miscellaneous Unrepresented Employees,9916,Public Svc Aide-Public Works,6710.02,0,138.91,6848.93
22482,31-03-2014,2,"Public Works, Transportation & Commerce",DPW,DPW GSA - Public Works,718,"Glaziers, Metal, and Glass Workers, Local 718",7326,Glazier,78402.35,0,2506,80908.35
26842,31-03-2017,2,"Public Works, Transportation & Commerce",MTA,MTA Municipal Transprtn Agncy,21,"Prof & Tech Engineers - Miscellaneous, Local 21",5241,Engineer,73570,0,0,73570
6825,31-03-2014,2,"Public Works, Transportation & Commerce",DPW,DPW GSA - Public Works,22,"Prof & Tech Engineers - Personnel, Local 21",1452,Executive Secretary 2,65275.03,0,0,65275.03
25816,31-03-2014,6,General Administration & Finance,REG,REG Elections,790,"SEIU - Miscellaneous, Local 1021",1402,Junior Clerk,730.52,596.96,0,1327.48
26228,31-03-2015,2,"Public Works, Transportation & Commerce",PUC,PUB Public Utilities Bureaus,21,"Prof & Tech Engineers - Miscellaneous, Local 21",5381,Stdntdsgn Train2/Arch/Eng/Plng,20638.71,0,0,20638.71
32702,31-03-2017,1,Public Protection,SHF,SHF Sheriff,498,Deputy Sheriffs' Association,8302,Deputy Sheriff 1,29642.5,0,1398.11,31040.61
13371,31-03-2015,2,"Public Works, Transportation & Commerce",MTA,MTA Municipal Transprtn Agncy,6,"Electrical Workers, Local 6",7371,Electrical Transit System Mech,77419.81,22005.36,3836.2,103261.37
20201,31-03-2017,3,Human Welfare & Neighborhood Development,DSS,HSA Human Services Agency,790,"SEIU - Miscellaneous, Local 1021",1404,Clerk,28479.8,0,0,28479.8
23719,31-03-2013,2,"Public Works, Transportation & Commerce",MTA,MTA Municipal Transprtn Agncy,253,"Transport Workers - Transit Operators, Local 250-A",9163,Transit Operator,61614.86,6076.03,2725.67,70416.56
54397,31-03-2015,3,Human Welfare & Neighborhood Development,DSS,HSA Human Services Agency,1,Miscellaneous Unrepresented Employees,9916,Public Svc Aide-Public Works,19228.18,0,0,19228.18
55818,31-03-2014,2,"Public Works, Transportation & Commerce",WTR,WTR Water Enterprise,351,Municipal Executive Association - Miscellaneous,922,Manager I,101898.55,0,6147.01,108045.56
55961,31-03-2016,2,"Public Works, Transportation & Commerce",MTA,MTA Municipal Transprtn Agncy,253,"Transport Workers - Transit Operators, Local 250-A",9163,Transit Operator,68931.61,3198.12,4310.06,76439.79
15140,31-03-2013,6,General Administration & Finance,TIS,DT GSA - Technology,21,"Prof & Tech Engineers - Miscellaneous, Local 21",1053,IS Business Analyst-Senior,2021,0,0,2021
15783,31-03-2015,2,"Public Works, Transportation & Commerce",WTR,WTR Water Enterprise,39,"Stationary Engineers, Local 39",7341,Statnry Eng Water Treat Plant,57991.71,7001.01,5512.24,70504.96
39910,31-03-2017,2,"Public Works, Transportation & Commerce",DPW,DPW GSA - Public Works,21,"Prof & Tech Engineers - Miscellaneous, Local 21",5203,Asst Engr,108698.41,0,0,108698.41
29970,31-03-2015,4,Community Health,DPH,DPH Public Health,791,"SEIU - Staff and Per Diem Nurses, Local 1021",2320,Registered Nurse,25535.1,0,20131.21,45666.31
19622,31-03-2017,1,Public Protection,CRT,CRT Superior Court,792,"SEIU - Court Employees, Local 1021",420C,Deputy Court Clerk II,76890.63,0,626.4,77517.03
18208,31-03-2013,2,"Public Works, Transportation & Commerce",MTA,MTA Municipal Transprtn Agncy,790,"SEIU - Miscellaneous, Local 1021",8214,Parking Control Officer,28376.84,657.9,229.19,29263.93
3116,31-03-2013,2,"Public Works, Transportation & Commerce",DPW,DPW GSA - Public Works,790,"SEIU - Miscellaneous, Local 1021",1820,Junior Administrative Analyst,25210.5,0,0,25210.5
32816,31-03-2013,3,Human Welfare & Neighborhood Development,DSS,HSA Human Services Agency,1,Miscellaneous Unrepresented Employees,9916,Public Svc Aide-Public Works,3863.79,0,0,3863.79
53696,31-03-2015,3,Human Welfare & Neighborhood Development,DSS,HSA Human Services Agency,535,"SEIU - Human Services, Local 1021",2905,Senior Eligibility Worker,76269.02,0,1140,77409.02
35263,31-03-2016,4,Community Health,DPH,DPH Public Health,791,"SEIU - Staff and Per Diem Nurses, Local 1021",2328,Nurse Practitioner,186618,0,1400,188018
36441,31-03-2016,2,"Public Works, Transportation & Commerce",AIR,AIR Airport Commission,216,"Teamsters, Local 853",7355,Truck Driver,34841.28,739.55,1364.29,36945.12
48537,31-03-2015,4,Community Health,DPH,DPH Public Health,791,"SEIU - Staff and Per Diem Nurses, Local 1021",P103,Special Nurse,14587.5,1628.24,469.05,16684.79
45098,31-03-2014,2,"Public Works, Transportation & Commerce",MTA,MTA Municipal Transprtn Agncy,21,"Prof & Tech Engineers - Miscellaneous, Local 21",5289,Transit Planner III,78849.7,0,0,78849.7
49950,31-03-2013,4,Community Health,DPH,DPH Public Health,21,"Prof & Tech Engineers - Miscellaneous, Local 21",2542,Speech Pathologist,94713.5,0,100,94813.5
32551,31-03-2017,2,"Public Works, Transportation & Commerce",MTA,MTA Municipal Transprtn Agncy,200,"Transportation Workers, Local 200",9139,Transit Supervisor,75765.6,18480.11,15011.56,109257.27
16200,31-03-2014,5,Culture & Recreation,REC,REC Recreation & Park Commsn,790,"SEIU - Miscellaneous, Local 1021",2708,Custodian,20481.63,0,864.22,21345.85
38635,31-03-2013,2,"Public Works, Transportation & Commerce",MTA,MTA Municipal Transprtn Agncy,253,"Transport Workers - Transit Operators, Local 250-A",9163,Transit Operator,65881.85,7405.96,4416.34,77704.15
49257,31-03-2016,2,"Public Works, Transportation & Commerce",DPW,DPW GSA - Public Works,535,"SEIU - Human Services, Local 1021",2917,Program Support Analyst,89208.1,0,0,89208.1
16302,31-03-2013,4,Community Health,DPH,DPH Public Health,790,"SEIU - Miscellaneous, Local 1021",2930,Psychiatric Social Worker,75241.6,0,1458.24,76699.84
18287,31-03-2014,2,"Public Works, Transportation & Commerce",CWP,WWE Wastewater Enterprise,790,"SEIU - Miscellaneous, Local 1021",9910,Public Service Trainee,36987.05,0,0,36987.05
9197,31-03-2014,5,Culture & Recreation,FAM,FAM Fine Arts Museum,790,"SEIU - Miscellaneous, Local 1021",8226,Museum Guard,1498.32,0,0,1498.32
27556,31-03-2015,6,General Administration & Finance,HRD,HRD Human Resources,790,"SEIU - Miscellaneous, Local 1021",9910,Public Service Trainee,3804.77,0,0,3804.77
52240,31-03-2013,3,Human Welfare & Neighborhood Development,DSS,HSA Human Services Agency,1,Miscellaneous Unrepresented Employees,9916,Public Svc Aide-Public Works,4915.78,0,85.4,5001.18
45342,31-03-2016,3,Human Welfare & Neighborhood Development,DSS,HSA Human Services Agency,535,"SEIU - Human Services, Local 1021",2917,Program Support Analyst,100892.22,2425.08,75,103392.3
12868,31-03-2015,2,"Public Works, Transportation & Commerce",AIR,AIR Airport Commission,251,"Transport Workers - Miscellaneous, Local 250-A",3542,Curator 2,28128.28,0,0,28128.28
13999,31-03-2017,4,Community Health,DPH,DPH Public Health,791,"SEIU - Staff and Per Diem Nurses, Local 1021",2320,Registered Nurse,114894.94,7555.51,20189.34,142639.79
47935,31-03-2015,2,"Public Works, Transportation & Commerce",MTA,MTA Municipal Transprtn Agncy,200,"Transportation Workers, Local 200",9139,Transit Supervisor,42884.4,603.15,5884.51,49372.06
19305,31-03-2016,2,"Public Works, Transportation & Commerce",MTA,MTA Municipal Transprtn Agncy,253,"Transport Workers - Transit Operators, Local 250-A",9163,Transit Operator,68696.24,16721.01,1702.78,87120.03
34613,31-03-2014,1,Public Protection,CRT,CRT Superior Court,197,"Prof & Tech Engineers - Court Reporters, Local 21",500C,Court Reporter,107168.22,0,5915.46,113083.68
43405,31-03-2017,2,"Public Works, Transportation & Commerce",AIR,AIR Airport Commission,790,"SEIU - Miscellaneous, Local 1021",2708,Custodian,47566.03,0,6985.59,54551.62
37191,31-03-2016,1,Public Protection,FIR,FIR Fire Department,798,"Firefighters - Miscellaneous, Local 798",H030,"Captain, Fire Suppression",207396.83,0,16591.75,223988.58
50320,31-03-2015,6,General Administration & Finance,ADM,ADM Gen Svcs Agency-City Admin,790,"SEIU - Miscellaneous, Local 1021",1408,Principal Clerk,73379.3,0,626.4,74005.7
8401,31-03-2015,6,General Administration & Finance,CPC,CPC City Planning,21,"Prof & Tech Engineers - Miscellaneous, Local 21",5298,Planner 3-Environmental Review,103553.82,0,0,103553.82
24939,31-03-2014,6,General Administration & Finance,CPC,CPC City Planning,21,"Prof & Tech Engineers - Miscellaneous, Local 21",5278,Planner 2,21164.03,0,0,21164.03
38285,31-03-2015,3,Human Welfare & Neighborhood Development,WOM,WOM Status Of Women,790,"SEIU - Miscellaneous, Local 1021",1820,Junior Administrative Analyst,55640.51,0,0,55640.51
26431,31-03-2013,1,Public Protection,POL,POL Police,911,Police Officers' Association,Q062,Lieutenant 3,156096.56,3899.58,10356.25,170352.39
54430,31-03-2016,4,Community Health,DPH,DPH Public Health,250,"SEIU - Health Workers, Local 1021",2736,Porter,57922.31,0,3650.55,61572.86
1819,31-03-2014,2,"Public Works, Transportation & Commerce",ECN,ECN Economic & Wrkfrce Dvlpmnt,535,"SEIU - Human Services, Local 1021",9704,Employment & Training Spec 3,79735.8,0,0,79735.8
18340,31-03-2017,6,General Administration & Finance,MYR,MYR Mayor,2,Management Unrepresented Employees,884,Mayoral Staff IV,56316.03,0,0,56316.03
15572,31-03-2013,2,"Public Works, Transportation & Commerce",DPW,DPW GSA - Public Works,21,"Prof & Tech Engineers - Miscellaneous, Local 21",5380,"Stdntdsgntrain1, Arch/Eng/Plng",27963.35,0,0,27963.35
56405,31-03-2017,4,Community Health,DPH,DPH Public Health,858,"Teamsters - Supervising Nurses, Local 856",2322,Nurse Manager,168814.63,0,13916.2,182730.83
47415,31-03-2016,5,Culture & Recreation,REC,REC Recreation & Park Commsn,790,"SEIU - Miscellaneous, Local 1021",3279,Recreation Leader,13029.97,0,100.48,13130.45
43260,31-03-2016,3,Human Welfare & Neighborhood Development,DSS,HSA Human Services Agency,790,"SEIU - Miscellaneous, Local 1021",9910,Public Service Trainee,15363,0,0,15363
24122,31-03-2013,4,Community Health,DPH,DPH Public Health,791,"SEIU - Staff and Per Diem Nurses, Local 1021",P103,Special Nurse,105648.09,0,3035.06,108683.15
15456,31-03-2017,1,Public Protection,POL,POL Police,911,Police Officers' Association,Q004,Police Officer 3,123075.05,19972.03,12039.5,155086.58
51856,31-03-2017,3,Human Welfare & Neighborhood Development,WOM,WOM Status Of Women,790,"SEIU - Miscellaneous, Local 1021",1820,Junior Administrative Analyst,58260.34,0,0,58260.34
46871,31-03-2014,2,"Public Works, Transportation & Commerce",PUC,PUB Public Utilities Bureaus,21,"Prof & Tech Engineers - Miscellaneous, Local 21",5381,Stdntdsgn Train2/Arch/Eng/Plng,6765,0,0,6765
12853,31-03-2015,2,"Public Works, Transportation & Commerce",PUC,PUB Public Utilities Bureaus,21,"Prof & Tech Engineers - Miscellaneous, Local 21",5241,Engineer,134005.81,0,0,134005.81
48843,31-03-2013,2,"Public Works, Transportation & Commerce",PUC,PUB Public Utilities Bureaus,790,"SEIU - Miscellaneous, Local 1021",9922,PS Aide To Prof,2233.5,0,0,2233.5
19413,31-03-2017,1,Public Protection,POL,POL Police,911,Police Officers' Association,Q003,Police Officer 2,120120.01,23115.78,19671.95,162907.74
31498,31-03-2014,2,"Public Works, Transportation & Commerce",MTA,MTA Municipal Transprtn Agncy,790,"SEIU - Miscellaneous, Local 1021",8201,School Crossing Guard,9005.82,0,0,9005.82
1336,31-03-2015,2,"Public Works, Transportation & Commerce",PUC,PUB Public Utilities Bureaus,21,"Prof & Tech Engineers - Miscellaneous, Local 21",5380,"Stdntdsgntrain1, Arch/Eng/Plng",6236.8,0,0,6236.8
39090,31-03-2014,1,Public Protection,SHF,SHF Sheriff,498,Deputy Sheriffs' Association,8304,Deputy Sheriff,90180.57,621.88,8088.47,98890.92
27280,31-03-2015,3,Human Welfare & Neighborhood Development,DSS,HSA Human Services Agency,535,"SEIU - Human Services, Local 1021",2940,Protective Services Worker,98675.27,14038.82,971.96,113686.05
24125,31-03-2013,5,Culture & Recreation,REC,REC Recreation & Park Commsn,790,"SEIU - Miscellaneous, Local 1021",3279,Recreation Leader,7447.5,0,16.2,7463.7
32,31-03-2014,5,Culture & Recreation,LIB,LIB Public Library,790,"SEIU - Miscellaneous, Local 1021",3602,Library Page,25440.8,0,998.31,26439.11
47502,31-03-2013,5,Culture & Recreation,REC,REC Recreation & Park Commsn,790,"SEIU - Miscellaneous, Local 1021",3279,Recreation Leader,1846.47,0,147.81,1994.28
25461,31-03-2016,1,Public Protection,JUV,JUV Juvenile Probation,21,"Prof & Tech Engineers - Miscellaneous, Local 21",1053,IS Business Analyst-Senior,96136.3,0,0,96136.3
15062,31-03-2016,5,Culture & Recreation,REC,REC Recreation & Park Commsn,790,"SEIU - Miscellaneous, Local 1021",9910,Public Service Trainee,2062.05,0,25.48,2087.53
46366,31-03-2013,1,Public Protection,POL,POL Police,911,Police Officers' Association,Q004,Police Officer 3,118898.15,23152.69,3433.44,145484.28
47800,31-03-2017,5,Culture & Recreation,REC,REC Recreation & Park Commsn,790,"SEIU - Miscellaneous, Local 1021",3279,Recreation Leader,2150.53,0,66.18,2216.71
17005,31-03-2014,5,Culture & Recreation,LIB,LIB Public Library,790,"SEIU - Miscellaneous, Local 1021",3602,Library Page,24090.73,0,1008.71,25099.44
50231,31-03-2013,1,Public Protection,POL,POL Police,790,"SEIU - Miscellaneous, Local 1021",9209,Community Police Services Aide,47848.59,2170.74,2965.56,52984.89
6022,31-03-2013,2,"Public Works, Transportation & Commerce",DPW,DPW GSA - Public Works,21,"Prof & Tech Engineers - Miscellaneous, Local 21",5203,Asst Engr,82593.8,0,0,82593.8
43032,31-03-2013,2,"Public Works, Transportation & Commerce",PUC,PUB Public Utilities Bureaus,790,"SEIU - Miscellaneous, Local 1021",1446,Secretary 2,63924.06,0,0,63924.06
50885,31-03-2013,2,"Public Works, Transportation & Commerce",MTA,MTA Municipal Transprtn Agncy,21,"Prof & Tech Engineers - Miscellaneous, Local 21",5382,"Stdntdsgntrain3, Arch/Eng/Plng",31560.9,0,0,31560.9
15162,31-03-2017,4,Community Health,DPH,DPH Public Health,535,"SEIU - Human Services, Local 1021",2903,Eligibility Worker,54719.83,0,880,55599.83
30313,31-03-2016,1,Public Protection,POL,POL Police,790,"SEIU - Miscellaneous, Local 1021",8274,Police Cadet,16085.19,0,0,16085.19
48074,31-03-2017,1,Public Protection,SHF,SHF Sheriff,39,"Stationary Engineers, Local 39",7314,Aprnt  Stationary Engineer I,44589.61,716.67,2959,48265.28
44624,31-03-2015,2,"Public Works, Transportation & Commerce",AIR,AIR Airport Commission,22,"Prof & Tech Engineers - Personnel, Local 21",1452,Executive Secretary 2,41413.51,0,448.85,41862.36
40991,31-03-2016,2,"Public Works, Transportation & Commerce",WTR,WTR Water Enterprise,790,"SEIU - Miscellaneous, Local 1021",9920,Publ Svc Aide-Asst To Prof,17763.78,40.61,0,17804.39
52017,31-03-2014,4,Community Health,DPH,DPH Public Health,250,"SEIU - Health Workers, Local 1021",2303,Patient Care Assistant,58126.17,0,5476.68,63602.85
44515,31-03-2017,6,General Administration & Finance,ADM,ADM Gen Svcs Agency-City Admin,790,"SEIU - Miscellaneous, Local 1021",1929,Parts Storekeeper,59636.6,2958.67,0,62595.27
