Region,Country,Item Type,Sales Channel,Order Priority,Order ID,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Central America and the Caribbean,Grenada,Fruits,Online,L,190969264,904,9.33,6.92,8434.32,6255.68,2178.64
Central America and the Caribbean,Cuba,Fruits,Online,M,802785432,904,9.33,6.92,8434.32,6255.68,2178.64
Asia,India,Fruits,Offline,C,234426629,904,9.33,6.92,8434.32,6255.68,2178.64
Middle East and North Africa,Qatar,Fruits,Offline,L,112063395,904,9.33,6.92,8434.32,6255.68,2178.64
Middle East and North Africa,Jordan,Fruits,Online,M,435695731,904,9.33,6.92,8434.32,6255.68,2178.64
Middle East and North Africa,Saudi Arabia,Fruits,Offline,M,681604945,905,9.33,6.92,8443.65,6262.6,2181.05
Sub-Saharan Africa,Rwanda,Fruits,Offline,M,314515244,905,9.33,6.92,8443.65,6262.6,2181.05
Asia,North Korea,Fruits,Online,C,192152011,905,9.33,6.92,8443.65,6262.6,2181.05
Central America and the Caribbean,Dominica,Fruits,Online,M,472326982,905,9.33,6.92,8443.65,6262.6,2181.05
Asia,India,Fruits,Online,C,803968179,905,9.33,6.92,8443.65,6262.6,2181.05
Middle East and North Africa,Lebanon,Fruits,Online,C,674778831,906,9.33,6.92,8452.98,6269.52,2183.46
Sub-Saharan Africa,Angola,Fruits,Online,L,394603860,906,9.33,6.92,8452.98,6269.52,2183.46
Asia,Brunei,Fruits,Offline,M,185325896,906,9.33,6.92,8452.98,6269.52,2183.46
Sub-Saharan Africa,Rwanda,Fruits,Offline,H,884056794,906,9.33,6.92,8452.98,6269.52,2183.46
Sub-Saharan Africa,Mauritania,Fruits,Online,L,877230679,907,9.33,6.92,8462.31,6276.44,2185.87
Europe,Malta,Fruits,Online,L,510140979,907,9.33,6.92,8462.31,6276.44,2185.87
Sub-Saharan Africa,Niger,Fruits,Online,C,265414512,907,9.33,6.92,8462.31,6276.44,2185.87
Asia,Cambodia,Fruits,Offline,M,754867446,907,9.33,6.92,8462.31,6276.44,2185.87
Central America and the Caribbean,Saint Lucia,Fruits,Online,M,675961577,907,9.33,6.92,8462.31,6276.44,2185.87
Europe,Andorra,Fruits,Online,H,597055709,907,9.33,6.92,8462.31,6276.44,2185.87
Sub-Saharan Africa,Senegal,Fruits,Offline,L,223139894,908,9.33,6.92,8471.64,6283.36,2188.28
Europe,Andorra,Fruits,Online,H,266597259,908,9.33,6.92,8471.64,6283.36,2188.28
Europe,Serbia,Fruits,Offline,L,144234025,908,9.33,6.92,8471.64,6283.36,2188.28
Europe,Netherlands,Fruits,Online,M,467866361,908,9.33,6.92,8471.64,6283.36,2188.28
Central America and the Caribbean,Saint Vincent and the Grenadines,Fruits,Online,H,345503127,908,9.33,6.92,8471.64,6283.36,2188.28
Sub-Saharan Africa,Tanzania,Fruits,Online,C,799507558,908,9.33,6.92,8471.64,6283.36,2188.28
Sub-Saharan Africa,South Africa,Fruits,Offline,C,511323726,908,9.33,6.92,8471.64,6283.36,2188.28
Europe,Bosnia and Herzegovina,Fruits,Online,C,224322640,909,9.33,6.92,8480.97,6290.28,2190.69
Sub-Saharan Africa,Tanzania,Fruits,Online,L,469049108,909,9.33,6.92,8480.97,6290.28,2190.69
Asia,Maldives,Fruits,Offline,H,958502042,909,9.33,6.92,8480.97,6290.28,2190.69
Asia,Kyrgyzstan,Fruits,Online,H,670318210,909,9.33,6.92,8480.97,6290.28,2190.69
Sub-Saharan Africa,Cameroon,Fruits,Offline,H,591412341,909,9.33,6.92,8480.97,6290.28,2190.69
Sub-Saharan Africa,Comoros,Fruits,Offline,H,549137723,910,9.33,6.92,8490.3,6297.2,2193.1
Asia,Philippines,Fruits,Offline,H,916227424,910,9.33,6.92,8490.3,6297.2,2193.1
Sub-Saharan Africa,Burkina Faso,Fruits,Online,C,872770059,910,9.33,6.92,8490.3,6297.2,2193.1
Europe,Austria,Fruits,Online,M,175221908,911,9.33,6.92,8499.63,6304.12,2195.51
Asia,Myanmar,Fruits,Offline,C,297585141,911,9.33,6.92,8499.63,6304.12,2195.51
North America,Canada,Fruits,Online,M,629226338,911,9.33,6.92,8499.63,6304.12,2195.51
Sub-Saharan Africa,Burkina Faso,Fruits,Online,L,542311608,911,9.33,6.92,8499.63,6304.12,2195.51
Asia,Sri Lanka,Fruits,Offline,C,255310523,912,9.33,6.92,8508.96,6311.04,2197.92
Sub-Saharan Africa,Uganda,Fruits,Online,H,377673757,912,9.33,6.92,8508.96,6311.04,2197.92
Europe,Belarus,Fruits,Online,H,414305007,913,9.33,6.92,8518.29,6317.96,2200.33
North America,Greenland,Fruits,Online,C,868309438,913,9.33,6.92,8518.29,6317.96,2200.33
Australia and Oceania,Palau,Fruits,Offline,M,911766803,913,9.33,6.92,8518.29,6317.96,2200.33
Europe,Iceland,Fruits,Online,M,336581885,914,9.33,6.92,8527.62,6324.88,2202.74
Australia and Oceania,Palau,Fruits,Online,H,581308352,914,9.33,6.92,8527.62,6324.88,2202.74
Australia and Oceania,Fiji,Fruits,Offline,C,904940688,914,9.33,6.92,8527.62,6324.88,2202.74
Central America and the Caribbean,Barbados,Fruits,Offline,L,495576369,915,9.33,6.92,8536.95,6331.8,2205.15
Middle East and North Africa,Iran,Fruits,Offline,L,128486669,915,9.33,6.92,8536.95,6331.8,2205.15
Australia and Oceania,Nauru,Fruits,Offline,C,862666070,915,9.33,6.92,8536.95,6331.8,2205.15
Europe,Finland,Fruits,Offline,C,329755771,915,9.33,6.92,8536.95,6331.8,2205.15
Sub-Saharan Africa,Ethiopia,Fruits,Online,H,985029304,915,9.33,6.92,8536.95,6331.8,2205.15
Central America and the Caribbean,Barbados,Fruits,Offline,M,165117919,916,9.33,6.92,8546.28,6338.72,2207.56
Sub-Saharan Africa,Mali,Fruits,Offline,M,619122350,916,9.33,6.92,8546.28,6338.72,2207.56
Central America and the Caribbean,Grenada,Fruits,Online,L,741485583,916,9.33,6.92,8546.28,6338.72,2207.56
Sub-Saharan Africa,Guinea,Fruits,Online,H,942754685,916,9.33,6.92,8546.28,6338.72,2207.56
North America,United States of America,Fruits,Offline,M,776934087,916,9.33,6.92,8546.28,6338.72,2207.56
Middle East and North Africa,Iran,Fruits,Offline,M,698028218,916,9.33,6.92,8546.28,6338.72,2207.56
Sub-Saharan Africa,Guinea-Bissau,Fruits,Offline,C,612296235,917,9.33,6.92,8555.61,6345.64,2209.97
Australia and Oceania,New Zealand,Fruits,Offline,M,201749169,917,9.33,6.92,8555.61,6345.64,2209.97
Central America and the Caribbean,Guatemala,Fruits,Online,L,411027133,917,9.33,6.92,8555.61,6345.64,2209.97
Australia and Oceania,Vanuatu,Fruits,Online,M,447658383,918,9.33,6.92,8564.94,6352.56,2212.38
Central America and the Caribbean,Guatemala,Fruits,Online,M,980568683,918,9.33,6.92,8564.94,6352.56,2212.38
Central America and the Caribbean,Nicaragua,Fruits,Offline,M,368752515,918,9.33,6.92,8564.94,6352.56,2212.38
Asia,Bangladesh,Fruits,Online,M,117199933,919,9.33,6.92,8574.27,6359.48,2214.79
Sub-Saharan Africa,Mauritius ,Fruits,Online,C,527746999,919,9.33,6.92,8574.27,6359.48,2214.79
Sub-Saharan Africa,Madagascar,Fruits,Offline,L,239563167,919,9.33,6.92,8574.27,6359.48,2214.79
Sub-Saharan Africa,Mauritius ,Fruits,Online,L,197288548,921,9.33,6.92,8592.93,6373.32,2219.61
Asia,Kyrgyzstan,Fruits,Online,M,651292979,921,9.33,6.92,8592.93,6373.32,2219.61
Middle East and North Africa,United Arab Emirates,Fruits,Offline,H,528929746,921,9.33,6.92,8592.93,6373.32,2219.61
Europe,Moldova ,Fruits,Offline,M,730198848,921,9.33,6.92,8592.93,6373.32,2219.61
Central America and the Caribbean,Honduras,Fruits,Online,C,889193332,922,9.33,6.92,8602.26,6380.24,2222.02
Europe,Monaco,Fruits,Online,H,969281947,923,9.33,6.92,8611.59,6387.16,2224.43
Sub-Saharan Africa,Seychelles ,Fruits,Offline,M,112739312,923,9.33,6.92,8611.59,6387.16,2224.43
Sub-Saharan Africa,Burkina Faso,Fruits,Online,C,523286378,923,9.33,6.92,8611.59,6387.16,2224.43
Europe,Austria,Fruits,Online,C,156196677,923,9.33,6.92,8611.59,6387.16,2224.43
Sub-Saharan Africa,Sudan,Fruits,Offline,L,400923144,923,9.33,6.92,8611.59,6387.16,2224.43
Sub-Saharan Africa,Angola,Fruits,Offline,C,235102546,923,9.33,6.92,8611.59,6387.16,2224.43
Sub-Saharan Africa,Central African Republic,Fruits,Online,C,481011760,924,9.33,6.92,8620.92,6394.08,2226.84
Sub-Saharan Africa,Sierra Leone,Fruits,Offline,M,682280862,924,9.33,6.92,8620.92,6394.08,2226.84
Europe,Slovenia,Fruits,Offline,H,603374993,924,9.33,6.92,8620.92,6394.08,2226.84
Sub-Saharan Africa,Uganda,Fruits,Online,M,928190076,925,9.33,6.92,8630.25,6401,2229.25
Europe,Belarus,Fruits,Online,M,395279777,925,9.33,6.92,8630.25,6401,2229.25
Asia,Malaysia,Fruits,Online,L,229459178,925,9.33,6.92,8630.25,6401,2229.25
Europe,Portugal,Fruits,Online,C,596548879,925,9.33,6.92,8630.25,6401,2229.25
Sub-Saharan Africa,Benin,Fruits,Online,M,474185645,925,9.33,6.92,8630.25,6401,2229.25
Sub-Saharan Africa,Zambia,Fruits,Online,H,597731626,926,9.33,6.92,8639.58,6407.92,2231.66
Asia,Maldives,Fruits,Online,M,799000728,926,9.33,6.92,8639.58,6407.92,2231.66
Europe,United Kingdom,Fruits,Online,C,230641925,926,9.33,6.92,8639.58,6407.92,2231.66
Europe,Serbia,Fruits,Offline,L,554274260,926,9.33,6.92,8639.58,6407.92,2231.66
Sub-Saharan Africa,Ethiopia,Fruits,Offline,L,966004073,927,9.33,6.92,8648.91,6414.84,2234.07
Europe,Cyprus,Fruits,Online,H,922546708,927,9.33,6.92,8648.91,6414.84,2234.07
Asia,Uzbekistan,Fruits,Online,L,433093774,927,9.33,6.92,8648.91,6414.84,2234.07
Asia,Uzbekistan,Fruits,Online,M,102635324,928,9.33,6.92,8658.24,6421.76,2236.48
Europe,Finland,Fruits,Offline,H,880272090,928,9.33,6.92,8658.24,6421.76,2236.48
Europe,Vatican City,Fruits,Online,L,469725024,928,9.33,6.92,8658.24,6421.76,2236.48
Europe,Bosnia and Herzegovina,Fruits,Online,C,303904426,928,9.33,6.92,8658.24,6421.76,2236.48
Europe,Greece,Fruits,Offline,H,837997472,929,9.33,6.92,8667.57,6428.68,2238.89
Asia,Tajikistan,Fruits,Offline,H,383993041,929,9.33,6.92,8667.57,6428.68,2238.89
Sub-Saharan Africa,Equatorial Guinea,Fruits,Offline,H,916903340,929,9.33,6.92,8667.57,6428.68,2238.89
Europe,Switzerland,Fruits,Online,M,751082742,929,9.33,6.92,8667.57,6428.68,2238.89
Sub-Saharan Africa,Republic of the Congo,Fruits,Offline,C,628719508,929,9.33,6.92,8667.57,6428.68,2238.89
Sub-Saharan Africa,Guinea-Bissau,Fruits,Online,H,262812554,930,9.33,6.92,8676.9,6435.6,2241.3
Asia,Thailand,Fruits,Offline,C,953534591,930,9.33,6.92,8676.9,6435.6,2241.3
Europe,Hungary,Fruits,Online,C,507539021,930,9.33,6.92,8676.9,6435.6,2241.3
Middle East and North Africa,Iraq,Fruits,Offline,M,918086087,930,9.33,6.92,8676.9,6435.6,2241.3
Central America and the Caribbean,Belize,Fruits,Offline,M,385175788,930,9.33,6.92,8676.9,6435.6,2241.3
Australia and Oceania,New Zealand,Fruits,Offline,L,752265489,930,9.33,6.92,8676.9,6435.6,2241.3
Central America and the Caribbean,Antigua and Barbuda ,Fruits,Online,M,996991956,930,9.33,6.92,8676.9,6435.6,2241.3
Central America and the Caribbean,Dominican Republic,Fruits,Offline,L,673359620,930,9.33,6.92,8676.9,6435.6,2241.3
Europe,Hungary,Fruits,Online,L,177080571,931,9.33,6.92,8686.23,6442.52,2243.71
Australia and Oceania,Solomon Islands,Fruits,Offline,L,709990870,931,9.33,6.92,8686.23,6442.52,2243.71
Europe,Kosovo,Fruits,Online,C,465264403,931,9.33,6.92,8686.23,6442.52,2243.71
Australia and Oceania,Tonga,Fruits,Online,M,379532420,932,9.33,6.92,8695.56,6449.44,2246.12
Europe,Iceland,Fruits,Online,M,746622121,932,9.33,6.92,8695.56,6449.44,2246.12
Central America and the Caribbean,El Salvador,Fruits,Offline,H,912442719,932,9.33,6.92,8695.56,6449.44,2246.12
Sub-Saharan Africa,Mozambique,Fruits,Offline,L,747804868,933,9.33,6.92,8704.89,6456.36,2248.53
Middle East and North Africa,Iran,Fruits,Offline,L,538526904,933,9.33,6.92,8704.89,6456.36,2248.53
Central America and the Caribbean,Cuba,Fruits,Offline,C,293800437,933,9.33,6.92,8704.89,6456.36,2248.53
Asia,China,Fruits,Online,M,625441634,933,9.33,6.92,8704.89,6456.36,2248.53
Central America and the Caribbean,Honduras,Fruits,Online,H,870168101,933,9.33,6.92,8704.89,6456.36,2248.53
Asia,India,Fruits,Offline,H,294983184,934,9.33,6.92,8714.22,6463.28,2250.94
Middle East and North Africa,Saudi Arabia,Fruits,Online,C,172619950,934,9.33,6.92,8714.22,6463.28,2250.94
Europe,Latvia,Fruits,Online,H,373889052,934,9.33,6.92,8714.22,6463.28,2250.94
Sub-Saharan Africa,Lesotho,Fruits,Online,M,740978753,934,9.33,6.92,8714.22,6463.28,2250.94
Sub-Saharan Africa,Mali,Fruits,Offline,H,698704135,935,9.33,6.92,8723.55,6470.2,2253.35
Europe,Montenegro,Fruits,Offline,H,619798266,935,9.33,6.92,8723.55,6470.2,2253.35
Asia,Brunei,Fruits,Online,C,576340901,935,9.33,6.92,8723.55,6470.2,2253.35
Asia,North Korea,Fruits,Offline,H,252708566,935,9.33,6.92,8723.55,6470.2,2253.35
Sub-Saharan Africa,Namibia,Fruits,Offline,M,986887967,935,9.33,6.92,8723.55,6470.2,2253.35
Europe,Poland,Fruits,Online,M,907982099,935,9.33,6.92,8723.55,6470.2,2253.35
Asia,South Korea,Fruits,Offline,C,822250115,936,9.33,6.92,8732.88,6477.12,2255.76
Middle East and North Africa,Oman,Fruits,Online,M,123519217,936,9.33,6.92,8732.88,6477.12,2255.76
Asia,Japan,Fruits,Offline,L,203607833,937,9.33,6.92,8742.21,6484.04,2258.17
Asia,Japan,Fruits,Offline,M,773149383,938,9.33,6.92,8751.54,6490.96,2260.58
Sub-Saharan Africa,Botswana,Fruits,Offline,M,694243514,938,9.33,6.92,8751.54,6490.96,2260.58
Europe,Norway,Fruits,Online,L,528422915,938,9.33,6.92,8751.54,6490.96,2260.58
Central America and the Caribbean,Saint Vincent and the Grenadines,Fruits,Offline,M,406059682,938,9.33,6.92,8751.54,6490.96,2260.58
Middle East and North Africa,Syria,Fruits,Online,H,650786149,938,9.33,6.92,8751.54,6490.96,2260.58
Sub-Saharan Africa,South Sudan,Fruits,Online,H,571880280,938,9.33,6.92,8751.54,6490.96,2260.58
Europe,Belgium,Fruits,Offline,M,615337646,938,9.33,6.92,8751.54,6490.96,2260.58
Asia,Kyrgyzstan,Fruits,Offline,L,161333215,938,9.33,6.92,8751.54,6490.96,2260.58
Europe,Armenia,Fruits,Offline,M,327153813,938,9.33,6.92,8751.54,6490.96,2260.58
Sub-Saharan Africa,Togo,Fruits,Offline,C,529605662,939,9.33,6.92,8760.87,6497.88,2262.99
Europe,Russia,Fruits,Online,L,486148297,939,9.33,6.92,8760.87,6497.88,2262.99
Middle East and North Africa,Yemen,Fruits,Offline,C,608511531,939,9.33,6.92,8760.87,6497.88,2262.99
Sub-Saharan Africa,Cape Verde,Fruits,Online,M,651968896,939,9.33,6.92,8760.87,6497.88,2262.99
Asia,Tajikistan,Fruits,Offline,M,364967811,940,9.33,6.92,8770.2,6504.8,2265.4
Asia,Mongolia,Fruits,Online,M,688600146,940,9.33,6.92,8770.2,6504.8,2265.4
Sub-Saharan Africa,Togo,Fruits,Offline,C,199147212,940,9.33,6.92,8770.2,6504.8,2265.4
Europe,Austria,Fruits,Offline,C,566236913,940,9.33,6.92,8770.2,6504.8,2265.4
North America,Canada,Fruits,Offline,L,120241343,940,9.33,6.92,8770.2,6504.8,2265.4
Asia,Thailand,Fruits,Offline,M,934509360,941,9.33,6.92,8779.53,6511.72,2267.81
Sub-Saharan Africa,Uganda,Fruits,Offline,L,768688762,941,9.33,6.92,8779.53,6511.72,2267.81
Sub-Saharan Africa,Sudan,Fruits,Offline,M,480504930,941,9.33,6.92,8779.53,6511.72,2267.81
Europe,Spain,Fruits,Offline,H,682956779,942,9.33,6.92,8788.86,6518.64,2270.22
Europe,Denmark,Fruits,Online,L,481687676,942,9.33,6.92,8788.86,6518.64,2270.22
Asia,Sri Lanka,Fruits,Offline,C,315867078,942,9.33,6.92,8788.86,6518.64,2270.22
North America,Greenland,Fruits,Online,M,359324443,942,9.33,6.92,8788.86,6518.64,2270.22
Asia,Taiwan,Fruits,Offline,C,885408627,943,9.33,6.92,8798.19,6525.56,2272.63
Australia and Oceania,Palau,Fruits,Online,L,402781808,943,9.33,6.92,8798.19,6525.56,2272.63
Central America and the Caribbean,Antigua and Barbuda ,Fruits,Online,M,647508275,943,9.33,6.92,8798.19,6525.56,2272.63
Europe,United Kingdom,Fruits,Offline,H,640682160,943,9.33,6.92,8798.19,6525.56,2272.63
Middle East and North Africa,Algeria,Fruits,Offline,H,561776292,944,9.33,6.92,8807.52,6532.48,2275.04
Middle East and North Africa,Egypt,Fruits,Online,H,849960124,944,9.33,6.92,8807.52,6532.48,2275.04
Central America and the Caribbean,Costa Rica,Fruits,Online,M,605233657,944,9.33,6.92,8807.52,6532.48,2275.04
Australia and Oceania,Tonga,Fruits,Offline,M,930048739,945,9.33,6.92,8816.85,6539.4,2277.45
Australia and Oceania,Papua New Guinea,Fruits,Offline,M,641864907,945,9.33,6.92,8816.85,6539.4,2277.45
Europe,Germany,Fruits,Offline,M,108954608,945,9.33,6.92,8816.85,6539.4,2277.45
Central America and the Caribbean,Grenada,Fruits,Offline,H,232500588,946,9.33,6.92,8826.18,6546.32,2279.86
Middle East and North Africa,Oman,Fruits,Offline,C,434952437,947,9.33,6.92,8835.51,6553.24,2282.27
Europe,Macedonia,Fruits,Online,M,312589204,947,9.33,6.92,8835.51,6553.24,2282.27
Sub-Saharan Africa,Liberia,Fruits,Online,M,391495072,947,9.33,6.92,8835.51,6553.24,2282.27
Europe,Italy,Fruits,Online,H,305763089,948,9.33,6.92,8844.84,6560.16,2284.68
Sub-Saharan Africa,Liberia,Fruits,Online,M,961036622,948,9.33,6.92,8844.84,6560.16,2284.68
Central America and the Caribbean,Belize,Fruits,Online,L,795216023,948,9.33,6.92,8844.84,6560.16,2284.68
Sub-Saharan Africa,Madagascar,Fruits,Online,H,630578172,949,9.33,6.92,8854.17,6567.08,2287.09
Asia,Bangladesh,Fruits,Offline,L,508214938,949,9.33,6.92,8854.17,6567.08,2287.09
Europe,Moldova ,Fruits,Offline,C,221213853,950,9.33,6.92,8863.5,6574,2289.5
Asia,Bangladesh,Fruits,Online,M,177756488,950,9.33,6.92,8863.5,6574,2289.5
Sub-Saharan Africa,Senegal,Fruits,Offline,H,264671218,950,9.33,6.92,8863.5,6574,2289.5
Europe,Luxembourg,Fruits,Online,L,502571570,951,9.33,6.92,8872.83,6580.92,2291.91
Middle East and North Africa,Yemen,Fruits,Online,M,589486300,951,9.33,6.92,8872.83,6580.92,2291.91
Asia,Kyrgyzstan,Fruits,Offline,L,711849534,951,9.33,6.92,8872.83,6580.92,2291.91
Asia,Kazakhstan,Fruits,Offline,M,993207252,952,9.33,6.92,8882.16,6587.84,2294.32
Middle East and North Africa,Tunisia ,Fruits,Online,C,870844018,952,9.33,6.92,8882.16,6587.84,2294.32
Asia,Myanmar,Fruits,Offline,M,339116466,953,9.33,6.92,8891.49,6594.76,2296.73
Sub-Saharan Africa,Angola,Fruits,Offline,H,295659101,953,9.33,6.92,8891.49,6594.76,2296.73
Sub-Saharan Africa,Rwanda,Fruits,Offline,L,785112035,953,9.33,6.92,8891.49,6594.76,2296.73
Central America and the Caribbean,Saint Lucia,Fruits,Online,C,907475268,953,9.33,6.92,8891.49,6594.76,2296.73
Europe,Albania,Fruits,Online,C,828569400,953,9.33,6.92,8891.49,6594.76,2296.73
Europe,San Marino,Fruits,Online,L,706206166,953,9.33,6.92,8891.49,6594.76,2296.73
Sub-Saharan Africa,Sudan,Fruits,Online,C,461479699,953,9.33,6.92,8891.49,6594.76,2296.73
Sub-Saharan Africa,Burkina Faso,Fruits,Offline,H,583842933,953,9.33,6.92,8891.49,6594.76,2296.73
Sub-Saharan Africa,Central African Republic,Fruits,Offline,M,872026765,953,9.33,6.92,8891.49,6594.76,2296.73
Europe,Spain,Fruits,Online,M,663931548,954,9.33,6.92,8900.82,6601.68,2299.14
Europe,Croatia,Fruits,Offline,C,744020164,955,9.33,6.92,8910.15,6608.6,2301.55
Australia and Oceania,East Timor,Fruits,Offline,L,376930463,955,9.33,6.92,8910.15,6608.6,2301.55
Europe,Estonia,Fruits,Online,C,132203996,955,9.33,6.92,8910.15,6608.6,2301.55
Europe,Spain,Fruits,Online,M,333473098,955,9.33,6.92,8910.15,6608.6,2301.55
Asia,Maldives,Fruits,Offline,C,290015733,955,9.33,6.92,8910.15,6608.6,2301.55
Europe,Sweden,Fruits,Online,H,903014647,956,9.33,6.92,8919.48,6615.52,2303.96
Sub-Saharan Africa,Ethiopia,Fruits,Online,C,457019078,956,9.33,6.92,8919.48,6615.52,2303.96
Asia,Taiwan,Fruits,Online,C,535924947,956,9.33,6.92,8919.48,6615.52,2303.96
Europe,Belgium,Fruits,Offline,M,125377881,956,9.33,6.92,8919.48,6615.52,2303.96
Europe,Vatican City,Fruits,Offline,H,860740029,957,9.33,6.92,8928.81,6622.44,2306.37
Middle East and North Africa,Azerbaijan,Fruits,Offline,C,781834161,957,9.33,6.92,8928.81,6622.44,2306.37
Sub-Saharan Africa,Comoros,Fruits,Online,L,450192964,957,9.33,6.92,8928.81,6622.44,2306.37
Europe,Finland,Fruits,Online,M,940828645,958,9.33,6.92,8938.14,6629.36,2308.78
Asia,Vietnam,Fruits,Offline,L,163191878,958,9.33,6.92,8938.14,6629.36,2308.78
Central America and the Caribbean,Belize,Fruits,Online,H,206649243,958,9.33,6.92,8938.14,6629.36,2308.78
Australia and Oceania,Marshall Islands,Fruits,Online,C,855096662,959,9.33,6.92,8947.47,6636.28,2311.19
Australia and Oceania,Solomon Islands,Fruits,Online,H,531464326,959,9.33,6.92,8947.47,6636.28,2311.19
North America,Canada,Fruits,Offline,L,199823129,959,9.33,6.92,8947.47,6636.28,2311.19
Central America and the Caribbean,Antigua and Barbuda ,Fruits,Offline,L,488006961,959,9.33,6.92,8947.47,6636.28,2311.19
Sub-Saharan Africa,Equatorial Guinea,Fruits,Online,H,977459895,959,9.33,6.92,8947.47,6636.28,2311.19
Central America and the Caribbean,Antigua and Barbuda ,Fruits,Online,L,157548511,960,9.33,6.92,8956.8,6643.2,2313.6
Sub-Saharan Africa,Eritrea,Fruits,Online,H,647001445,960,9.33,6.92,8956.8,6643.2,2313.6
Sub-Saharan Africa,Madagascar,Fruits,Online,M,611552941,960,9.33,6.92,8956.8,6643.2,2313.6
Australia and Oceania,Solomon Islands,Fruits,Online,C,201005876,960,9.33,6.92,8956.8,6643.2,2313.6
Europe,Lithuania,Fruits,Offline,M,244463241,960,9.33,6.92,8956.8,6643.2,2313.6
Asia,Bangladesh,Fruits,Offline,H,489189708,960,9.33,6.92,8956.8,6643.2,2313.6
Central America and the Caribbean,El Salvador,Fruits,Online,L,403457725,961,9.33,6.92,8966.13,6650.12,2316.01
Middle East and North Africa,Egypt,Fruits,Offline,H,360000360,961,9.33,6.92,8966.13,6650.12,2316.01
Middle East and North Africa,Libya,Fruits,Online,M,936368024,961,9.33,6.92,8966.13,6650.12,2316.01
Central America and the Caribbean,Costa Rica,Fruits,Online,M,115273892,961,9.33,6.92,8966.13,6650.12,2316.01
Sub-Saharan Africa,Ghana,Fruits,Offline,C,604726827,961,9.33,6.92,8966.13,6650.12,2316.01
Asia,China,Fruits,Offline,C,446915090,961,9.33,6.92,8966.13,6650.12,2316.01
Europe,Luxembourg,Fruits,Online,C,483546340,962,9.33,6.92,8975.46,6657.04,2318.42
Asia,China,Fruits,Offline,C,116456639,962,9.33,6.92,8975.46,6657.04,2318.42
Central America and the Caribbean,Cuba,Fruits,Online,M,684815442,962,9.33,6.92,8975.46,6657.04,2318.42
Middle East and North Africa,Iran,Fruits,Online,H,929541909,962,9.33,6.92,8975.46,6657.04,2318.42
Asia,Bhutan,Fruits,Offline,L,728272807,962,9.33,6.92,8975.46,6657.04,2318.42
Asia,Kazakhstan,Fruits,Online,L,974182021,963,9.33,6.92,8984.79,6663.96,2320.83
Middle East and North Africa,Qatar,Fruits,Offline,H,563634955,963,9.33,6.92,8984.79,6663.96,2320.83
Asia,Bhutan,Fruits,Offline,M,397814357,963,9.33,6.92,8984.79,6663.96,2320.83
Sub-Saharan Africa,Mozambique,Fruits,Online,C,808361423,963,9.33,6.92,8984.79,6663.96,2320.83
Central America and the Caribbean,Saint Kitts and Nevis ,Fruits,Online,M,888450038,964,9.33,6.92,8994.12,6670.88,2323.24
Europe,Poland,Fruits,Offline,C,398997104,964,9.33,6.92,8994.12,6670.88,2323.24
Europe,Liechtenstein,Fruits,Offline,M,434445607,964,9.33,6.92,8994.12,6670.88,2323.24
Europe,Andorra,Fruits,Online,H,479085719,965,9.33,6.92,9003.45,6677.8,2325.65
Middle East and North Africa,Oman,Fruits,Offline,L,514534223,965,9.33,6.92,9003.45,6677.8,2325.65
Europe,San Marino,Fruits,Offline,L,356722486,965,9.33,6.92,9003.45,6677.8,2325.65
Sub-Saharan Africa,Sierra Leone,Fruits,Offline,C,723812186,965,9.33,6.92,9003.45,6677.8,2325.65
Asia,Malaysia,Fruits,Offline,M,601448953,965,9.33,6.92,9003.45,6677.8,2325.65
Europe,Montenegro,Fruits,Online,M,680354821,965,9.33,6.92,9003.45,6677.8,2325.65
Middle East and North Africa,Somalia,Fruits,Offline,L,472259604,966,9.33,6.92,9012.78,6684.72,2328.06
Europe,Moldova ,Fruits,Online,H,961712539,966,9.33,6.92,9012.78,6684.72,2328.06
Central America and the Caribbean,Saint Vincent and the Grenadines,Fruits,Online,C,227533137,966,9.33,6.92,9012.78,6684.72,2328.06
Sub-Saharan Africa,Benin,Fruits,Online,C,515716969,966,9.33,6.92,9012.78,6684.72,2328.06
Europe,Andorra,Fruits,Online,C,148627269,967,9.33,6.92,9022.11,6691.64,2330.47
Asia,Japan,Fruits,Online,C,264164388,967,9.33,6.92,9022.11,6691.64,2330.47
Sub-Saharan Africa,South Africa,Fruits,Online,M,962895286,968,9.33,6.92,9031.44,6698.56,2332.88
Asia,Nepal,Fruits,Offline,H,228715884,968,9.33,6.92,9031.44,6698.56,2332.88
Middle East and North Africa,Yemen,Fruits,Online,M,999526536,969,9.33,6.92,9040.77,6705.48,2335.29
Sub-Saharan Africa,Cape Verde,Fruits,Offline,L,142983901,969,9.33,6.92,9040.77,6705.48,2335.29
Europe,Cyprus,Fruits,Offline,L,964078032,969,9.33,6.92,9040.77,6705.48,2335.29
Central America and the Caribbean,Trinidad and Tobago,Fruits,Online,M,466616237,969,9.33,6.92,9040.77,6705.48,2335.29
Asia,Mongolia,Fruits,Offline,C,510073602,969,9.33,6.92,9040.77,6705.48,2335.29
Sub-Saharan Africa,South Sudan,Fruits,Online,H,632436835,969,9.33,6.92,9040.77,6705.48,2335.29
Asia,Kyrgyzstan,Fruits,Online,L,221889770,969,9.33,6.92,9040.77,6705.48,2335.29
Sub-Saharan Africa,Sudan,Fruits,Online,H,301978385,970,9.33,6.92,9050.1,6712.4,2337.7
